address_name,id,name,type,full_name,purpose_name,address_comment,building_name,is_deleted
"Большой Афанасьевский переулок, 22",70000001019236144,Международная Клиника Гемостаза,branch,,,1 этаж,,
"Зеленоград, к1801",70000001024066965,"Дали, стоматологическая клиника",branch,,,2 этаж,,
"Пятницкая улица, 47 ст2",70000001036506930,"Дентал Бьюти Бутик, клиника стоматологии и косметологии",branch,,,1 этаж,,
"Лубянский проезд, 15 ст2",70000001040983425,"Зубландия, детская стоматологическая клиника",branch,,,1 этаж,,
"улица Авиаконструктора Миля, 16",4504127908481052,"Дежавю, стоматологическая клиника",branch,,,1 этаж,,
"бульвар Энтузиастов, 2",70000001065520737,Стоматология на 22 этаже,branch,,,5 офис; 22 этаж,,
"Строгинский бульвар, 10 к3",4504127908640025,"Студия Смайл, медицинский центр",branch,,,1 этаж,,
"улица Свердлова, 9а",70000001019292757,"Дорсуммед, медицинский центр",branch,,,2 этаж,,
"Московская улица, 14",4504127908842386,"Клиника №1, многопрофильный медицинский центр",branch,,,"цокольный, 3, 4 этаж",,
"Большая Дорогомиловская улица, 5",70000001028434950,"Центр спортивной медицины и реабилитации, отделение спортивной медицины",branch,,,1 этаж,,
"проезд Берёзовой Рощи, 8",4504128908905619,"Рудента Кидс, стоматологическая клиника",branch,,,2 этаж,,
"проезд Берёзовой Рощи, 6",4504127918735954,"Рудента, центр стоматологии",branch,,,2-3 этаж,,
"улица Мира, 32а",70000001019365910,"ДенталКрафт, стоматологическая клиника",branch,,,1 этаж,,
"Спортивная улица, 15",70000001035880798,"AniDent, стоматология",branch,,,1 этаж,,
"Кронштадтский бульвар, 13/2 к1",70000001046774445,"Добромед, медицинская клиника",branch,,,,,
"улица Дмитрия Ульянова, 4 к1",70000001069518412,"Dental City Group, стоматология",branch,,,1 этаж; вход со двора,,
"улица Михаила Кутузова, 5а",70000001006680527,"Бэби плюс, семейный медицинский центр",branch,,,3 этаж,,
"Стремянный переулок, 26",70000001055164514,"Все Улыбки All smiles, стоматологическая клиника",branch,,,2 этаж,,
"улица Островитянова, 9 к1",4504127908426697,"Клиника доктора Осиповой, стоматологический центр",branch,,,1 этаж,,
"улица Крымский Вал, 3 ст2",70000001061852186,"New Iceberg, центр естественной стоматологии",branch,,,1 этаж,,
"улица Германа Титова, 10",70000001055905549,"Гиппократ, медицинский центр",branch,,,1 этаж,,
"улица Сретенка, 9",4504128908360413,Столичная Медицинская Клиника,branch,,,1 этаж,,
"проспект Ленина, 30",4504127908839063,"Рефлекс, медицинский центр",branch,,,1 этаж,,
"Киевская улица, 22",4504127908502068,"Первый доктор, медицинская клиника",branch,,,1 этаж,,
"Северный бульвар, 7г ст2",70000001094548263,"П-Дент, сеть стоматологических комплексов",branch,,,3 этаж,,
"Большая Серпуховская улица, 33",70000001024391582,"Витакор, медицинский центр",branch,,,1-2 этаж,,
"Вернадского проспект, 11",70000001081071328,"Все свои!, сеть стоматологических клиник",branch,,,1 этаж,,
"Летниковская улица, 10 ст4",70000001060413185,Умная стоматология,branch,,,1 этаж,,
"Елецкая улица, 16 к1",70000001029552359,"Medical Star, многопрофильный медицинский центр",branch,,,1 этаж,,
